Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,1,161.60566067695618,14.0,"February 12, 2024",-0.5044575137130561,0.032897742820534315,0.032450895449247105,0.37322595938374953,0.9619188600758211,0.6336901366179966,3.7945517162754236,0.0,,0.020385724382844885,,250.15350348358697,-250.15350348358697
Test,1,90.9532995223999,14.0,"January 16, 2024",NA,NA,NA,NA,0.9245441553813126,0.6090685362867034,3.6471169837527104,0.0,,0.020223728788957077,,159.9050558883255,-159.9050558883255
Test,1,91.76126599311829,14.0,"April 17, 2024",NA,NA,NA,NA,0.9722367624864493,0.6404873346557683,3.8352535009327378,0.0,,0.02566428681268245,,1422.3532725451782,-1422.3532725451782
Train,2,347.5184507369995,14.0,"October 13, 2024",-0.3521019491930756,0.2891586487308987,0.27748133047550383,0.02477736649528933,0.9846424699764256,0.6486599309114931,3.8841912030628287,0.0,,0.023058001252598614,,1347.1122641615686,-1347.1122641615686
Test,2,181.95822095870972,14.0,"January 16, 2024",NA,NA,NA,NA,1.0102363263160352,0.6655205778886694,3.9851531610100004,0.0,,0.020479508743172357,,277.0594396424615,-277.0594396424615
Test,2,186.67060327529907,14.0,"April 17, 2024",NA,NA,NA,NA,1.0330160035475615,0.680527308056975,4.0750138207004385,0.0,,0.027078064852477896,,1521.6145383202356,-1521.6145383202356
Train,3,538.6721222400665,14.0,"March 26, 2024",4.091308473609388,0.34558998118154705,0.3105487692657681,-4.269119940831193,1.0804069018135267,0.7117473475457945,4.261960164944872,0.0,,0.026207857247393097,,2092.788208520462,-2092.788208520462
Test,3,271.4826602935791,14.0,"January 16, 2024",NA,NA,NA,NA,1.1281442126407009,0.7431955957041312,4.450273028168453,0.0,,0.02096600338832647,,578.481714580902,-578.481714580902
Test,3,276.0479533672333,14.0,"April 17, 2024",NA,NA,NA,NA,1.3757885099953515,0.9063379927780044,5.427173609449133,0.0,,0.027836709363888705,,2696.940767961613,-2696.940767961613
Train,4,733.1111204624176,14.0,"February 23, 2024",11.475529738125347,0.5476102627192935,0.5223396467931923,-11.707289033702441,1.1034927796498328,0.7269557956667551,4.353028716567392,0.0,,0.0225387815886514,,1007.2580189930707,-1007.2580189930707
Test,4,357.7069842815399,14.0,"January 16, 2024",NA,NA,NA,NA,0.9447388237928199,0.6223723217885648,3.7267803699914,0.0,,0.02055293221756954,,196.1717693193713,-196.1717693193713
Test,4,347.32385993003845,14.0,"April 17, 2024",NA,NA,NA,NA,1.1175722466411426,0.7362310263868687,4.408569020280645,0.0,,0.026844964516484198,,2082.4644916143466,-2082.4644916143466
Train,5,836.5805056095123,14.0,"October 12, 2024",19.944470620581082,0.840275013508896,0.8355242399986655,-20.085904271829698,1.0569017188198784,0.6962626707807492,4.169237549585322,0.0,,0.022960333830084338,,1931.7175816753443,-1931.7175816753443
Test,5,427.7291111946106,14.0,"January 16, 2024",NA,NA,NA,NA,0.9121250710436546,0.6008871276697852,3.5981265129927116,0.0,,0.02022289226260722,,129.2259637001455,-129.2259637001455
Test,5,422.22259640693665,14.0,"April 17, 2024",NA,NA,NA,NA,0.9824964117447091,0.6472461568495741,3.875725490117203,0.0,,0.02609131980032293,,1535.9526826730123,-1535.9526826730123
Train,6,942.9849722385406,14.0,"February 08, 2024",26.7120289234888,1.6053661237515153,1.6080198026750059,-26.794363942884264,0.9087344505654117,0.5986534644750454,3.584751284281701,0.0,,0.02053345023435633,,155.11913487358387,-155.11913487358387
Test,6,500.5601737499237,14.0,"January 16, 2024",NA,NA,NA,NA,0.8773000773674302,0.5779452186207548,3.460749812100321,0.0,,0.020196201138604753,,102.51814075241172,-102.51814075241172
Test,6,496.77645850181585,14.0,"April 17, 2024",NA,NA,NA,NA,0.9902603006776624,0.6523608292432741,3.9063522709177994,0.0,,0.026388426157782755,,1472.293905108712,-1472.293905108712
Train,7,1051.0266997814178,14.0,"October 13, 2024",31.67227509192058,2.049158224858166,2.060113440799926,-31.75472239227522,0.9813887318707225,0.6465164426919564,3.8713559442632097,0.0,,0.022919712859549083,,1350.3768316833657,-1350.3768316833657
Test,7,571.4400382041931,14.0,"January 16, 2024",NA,NA,NA,NA,0.8779351299216557,0.5783635767136752,3.4632549503812915,0.0,,0.020309433861705698,,99.57349478014824,-99.57349478014824
Test,7,568.9093418121339,14.0,"April 17, 2024",NA,NA,NA,NA,0.92364600608826,0.6084768560818135,3.6435739885138516,0.0,,0.02568499129429251,,1322.4968298340568,-1322.4968298340568
Train,8,1156.6894142627716,14.0,"December 11, 2024",36.366129486333755,2.8476115645219884,2.8602033548190127,-36.47600339707874,0.9158450334367397,0.6033377537827841,3.6128009208549936,0.0,,0.021289107665690293,,161.88317533156956,-161.88317533156956
Test,8,642.3219032287598,14.0,"January 16, 2024",NA,NA,NA,NA,0.8197484224795564,0.5400315051443246,3.233721587690562,0.0,,0.020397631971067486,,68.3182158716377,-68.3182158716377
Test,8,640.2204515933992,14.0,"April 17, 2024",NA,NA,NA,NA,0.8358243860334511,0.5506219821206562,3.29713761748896,0.0,,0.026055525005699548,,964.5503361679578,-964.5503361679578
Train,9,1314.9562764167786,14.0,"February 02, 2024",35.993394335110985,3.210773792960459,3.2295127505480887,-36.15352313859122,0.6393584633676662,0.42119472734674757,2.5221241158487815,0.0,,0.019919018161736256,,560.9998115121113,-560.9998115121113
