Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,1,829.9825539588928,14.0,"February 12, 2024",-0.7354953335099188,0.04781333399859293,0.04753959818823378,0.5779215319614325,1.0711615583140248,0.7056567267788637,4.225489381909362,0.0,,0.020640632914069673,,409.4455320762611,-409.4455320762611
Test,1,87.51893639564514,14.0,"January 16, 2024",NA,NA,NA,NA,1.0917132421382065,0.7191957058661932,4.3065611129712265,0.0,,0.020530324709608437,,392.57913193914857,-392.57913193914857
Test,1,87.07005977630615,14.0,"April 17, 2024",NA,NA,NA,NA,1.1802802938898416,0.7775416531739784,4.655938042957956,0.0,,0.027214745975194136,,1997.4954404559157,-1997.4954404559157
Train,2,1652.2226431369781,14.0,"October 13, 2024",1.2921235301151424,0.23709434587951927,0.23534371722988517,-1.4818546031386912,1.159878210358658,0.7641012273368645,4.575456451118958,0.0,,0.022584560452164382,,1848.9767200497693,-1848.9767200497693
Test,2,173.68621921539307,14.0,"January 16, 2024",NA,NA,NA,NA,1.0821191099505063,0.7128753110916536,4.268714437674584,0.0,,0.020603598445204634,,365.5416605107777,-365.5416605107777
Test,2,174.59834384918213,14.0,"April 17, 2024",NA,NA,NA,NA,1.1342840277776722,0.7472403654393326,4.47449320622355,0.0,,0.027213214225551098,,1796.1638158559763,-1796.1638158559763
Train,3,2523.448467731476,14.0,"March 26, 2024",14.013939687893505,0.509502795031516,0.49522814964542966,-14.077192304833304,1.1519519842645327,0.7588796109356085,4.544189287039567,0.0,,0.02672232884373261,,2382.220112459619,-2382.220112459619
Test,3,258.5216188430786,14.0,"January 16, 2024",NA,NA,NA,NA,1.034473886628142,0.6814877280745547,4.080764838769788,0.0,,0.020342423492792843,,257.5980525357791,-257.5980525357791
Test,3,265.3549084663391,14.0,"April 17, 2024",NA,NA,NA,NA,1.141824523807572,0.7522078716996609,4.504238752692582,0.0,,0.026090828496418396,,1862.0237916877245,-1862.0237916877245
Train,4,3383.3993446826935,14.0,"February 23, 2024",29.956221324347315,1.3175760025956802,1.3071398193881447,-29.997604642595565,0.964568414382985,0.6354356023745893,3.8050036070334703,0.0,,0.021014641355115257,,458.74125516075856,-458.74125516075856
Test,4,343.95392394065857,14.0,"January 16, 2024",NA,NA,NA,NA,0.9563246379107099,0.6300047910496575,3.7724837787404697,0.0,,0.019621841827704524,,119.31589499065666,-119.31589499065666
Test,4,351.59769105911255,14.0,"April 17, 2024",NA,NA,NA,NA,0.9351780432077657,0.6160738982867701,3.6890652592022204,0.0,,0.02570602129593892,,1016.2372095743009,-1016.2372095743009
