Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,1,1100.2039096355438,14.0,"February 12, 2024",-0.9325923516548106,0.016454359650933406,0.016062054576477316,0.8312369472391549,0.9545376319912448,0.628827552436048,3.765434445724834,0.0,,0.02017624617679679,,187.9343918872428,-187.9343918872428
Test,1,103.12858819961548,14.0,"January 16, 2024",NA,NA,NA,NA,1.006363534059788,0.6629692709585201,3.969875874003117,0.0,,0.020524717218877702,,284.5123239417582,-284.5123239417582
Test,1,81.57552766799927,14.0,"April 17, 2024",NA,NA,NA,NA,1.0922759054827809,0.7195663756040425,4.308780692239774,0.0,,0.02738940395830241,,1757.8393879939913,-1757.8393879939913
Train,2,2182.086870908737,14.0,"October 13, 2024",-1.1250525826399098,0.19460720026178197,0.19950609788897314,0.8911280394928499,0.9988511509606786,0.6580202848537797,3.9402412266693365,0.0,,0.023166192779950422,,1391.0363845302497,-1391.0363845302497
Test,2,189.49632740020752,14.0,"January 16, 2024",NA,NA,NA,NA,0.9546729950627892,0.6289167265305167,3.7659684223384113,0.0,,0.02014867123979683,,151.9322850659785,-151.9322850659785
Test,2,170.51057720184326,14.0,"April 17, 2024",NA,NA,NA,NA,1.0554301126058516,0.6952932102768349,4.163432396867262,0.0,,0.026997380828435863,,1644.7421247243433,-1644.7421247243433
Train,3,3323.9763448238373,14.0,"March 26, 2024",3.8260575126589087,0.2869367163013002,0.3107580931835054,-3.991001895718606,1.0064162668275392,0.6630040100994052,3.9700838928108073,0.0,,0.02557026451227475,,1990.1562150028328,-1990.1562150028328
Test,3,276.89865732192993,14.0,"January 16, 2024",NA,NA,NA,NA,1.0131038779873258,0.6674096553210377,3.9964650019223833,0.0,,0.020213372367155116,,257.6632246891823,-257.6632246891823
Test,3,260.4386329650879,14.0,"April 17, 2024",NA,NA,NA,NA,1.10893779480601,0.7305428470714144,4.374508066295889,0.0,,0.026622984827780426,,1875.756225395326,-1875.756225395326
Train,4,4481.116782903671,14.0,"February 23, 2024",15.135652130735773,0.5368589209281796,0.5415413100715905,-15.221740760618733,1.0217095941439116,0.6730789042289267,4.030412600173211,0.0,,0.02199843516210359,,734.2640558327591,-734.2640558327591
Test,4,366.459805727005,14.0,"January 16, 2024",NA,NA,NA,NA,0.9950445251618864,0.655512566871934,3.9252249513289295,0.0,,0.02034214185828417,,217.11853533027377,-217.11853533027377
Test,4,349.6243939399719,14.0,"April 17, 2024",NA,NA,NA,NA,1.0330848570621418,0.680572667177032,4.075285432197794,0.0,,0.027001001352765813,,1499.1600503963723,-1499.1600503963723
Train,5,5625.894266843796,14.0,"October 12, 2024",27.16653644080673,1.1183857214858843,1.1428159987387647,-27.244739602364245,1.0722590688005336,0.7063797415766829,4.2298188118364175,0.0,,0.022947018254487417,,1746.7306250065642,-1746.7306250065642
Test,5,453.57844591140747,14.0,"January 16, 2024",NA,NA,NA,NA,0.9607624379698183,0.6329283121931355,3.789989893372061,0.0,,0.02043803358561682,,198.49792234432368,-198.49792234432368
Test,5,438.03810358047485,14.0,"April 17, 2024",NA,NA,NA,NA,1.0044905874645622,0.6617354165940111,3.9624875245150295,0.0,,0.025547745641781645,,1458.779769905579,-1458.779769905579
Train,6,6462.511182785034,14.0,"February 08, 2024",36.30314598055113,2.2028299988402673,2.280351136833252,-36.36860573220821,0.9092029285713974,0.5989620870667611,3.5865993237530494,0.0,,0.02048923901879729,,105.76743310812248,-105.76743310812248
Test,6,541.7537813186646,14.0,"January 16, 2024",NA,NA,NA,NA,0.9500219905500589,0.6258527511710449,3.7476212644972557,0.0,,0.02000271947770523,,126.2958814784907,-126.2958814784907
Test,6,526.0613424777985,14.0,"April 17, 2024",NA,NA,NA,NA,0.991572872181085,0.653225521318505,3.9115300677754683,0.0,,0.025809403445018916,,1373.0774191146704,-1373.0774191146704
Train,7,7600.017684698105,14.0,"October 13, 2024",41.46856910983721,3.2134332606302842,3.333708983225127,-41.549604488270624,0.9433684051247271,0.62146952132477,3.72137437919024,0.0,,0.022151201422423585,,997.8710177522497,-997.8710177522497
Test,7,629.950117111206,14.0,"January 16, 2024",NA,NA,NA,NA,0.9301636529920828,0.6127705327403472,3.6692846271876998,0.0,,0.019859022808030428,,105.4755326477876,-105.4755326477876
Test,7,614.9182107448578,14.0,"April 17, 2024",NA,NA,NA,NA,0.8833244375052515,0.5819139292440896,3.484514546371783,0.0,,0.022657575754282032,,915.8929237278287,-915.8929237278287
Train,8,8778.48054933548,14.0,"December 11, 2024",45.42463235060374,3.9192968094721437,4.060152517055117,-45.5343459816206,0.8260332700005215,0.5441718188958083,3.2585138856036338,0.0,,0.020151723401867546,,29.955673650022938,-29.955673650022938
Test,8,717.1006207466125,14.0,"January 16, 2024",NA,NA,NA,NA,0.8807729523712517,0.5802330692149869,3.4744495162574,0.0,,0.020146967458016973,,39.4675276645333,-39.4675276645333
Test,8,703.6455738544464,14.0,"April 17, 2024",NA,NA,NA,NA,0.7154408997261311,0.47131609567757105,2.8222520699255647,0.0,,0.0192799025294398,,328.6981748744158,-328.6981748744158
Train,9,10036.144193649292,14.0,"February 02, 2024",45.12488593941643,4.508164394469488,4.637761524878442,-45.23872033754984,0.8334673637232416,0.5490692297506183,3.287839699105492,0.0,,0.01959739374626587,,84.77872974434405,-84.77872974434405
Test,9,805.2669906616211,14.0,"January 16, 2024",NA,NA,NA,NA,0.8156013094174646,0.5372994819436556,3.2173621673272734,0.0,,0.01933143350970443,,31.24951289994681,-31.24951289994681
Test,9,790.1420624256134,14.0,"April 17, 2024",NA,NA,NA,NA,0.6477458895432707,0.42672017180957267,2.55521060963815,0.0,,0.01964302202150075,,184.09077394394023,-184.09077394394023
Train,10,11157.683022022247,14.0,"February 05, 2024",43.781897770506994,4.36532639108953,4.488371827196152,-43.93555380191122,0.8172856863065711,0.5384091109001872,3.2240066520969237,0.0,,0.018966782631060844,,66.69901392737756,-66.69901392737756
Test,10,895.3317456245422,14.0,"January 16, 2024",NA,NA,NA,NA,0.7971748383530589,0.5251605443982683,3.144673918552502,0.0,,0.01967990400495031,,40.54577109671937,-40.54577109671937
Test,10,876.3874053955078,14.0,"April 17, 2024",NA,NA,NA,NA,0.5885390166169726,0.3877160385602945,2.3216529255107377,0.0,,0.019186160228434283,,68.8354849767983,-68.8354849767983
Train,11,12403.73158121109,14.0,"March 24, 2024",40.383280523476145,4.4340755850786255,4.561991359284591,-40.62163112986656,0.515992201616738,0.3399238566863718,2.0354721957267734,0.0,,0.01985331452688291,,15.813003766088192,-15.813003766088192
Test,11,979.5429542064667,14.0,"January 16, 2024",NA,NA,NA,NA,0.7822705488591826,0.5153419394851428,3.0858798771565383,0.0,,0.01903241548991152,,43.92594583883079,-43.92594583883079
Test,11,961.6429471969604,14.0,"April 17, 2024",NA,NA,NA,NA,0.5368341117222101,0.3536540302075312,2.117688803637907,0.0,,0.019378702597079904,,28.653693526000318,-28.653693526000318
Train,12,13702.08021068573,14.0,"March 30, 2024",30.080094884548867,5.022239108769489,5.113764639810792,-30.857897962842667,0.4237636921350556,0.2791658247990301,1.6716516455031694,0.0,,0.01989619630400326,,13.442207378529101,-13.442207378529101
Test,12,1065.8690662384033,14.0,"January 16, 2024",NA,NA,NA,NA,0.6765920165495057,0.4457233402909982,2.669002037670638,0.0,,0.019283105410904573,,241.33895787078498,-241.33895787078498
Test,12,1047.6114070415497,14.0,"April 17, 2024",NA,NA,NA,NA,0.451543993348517,0.2974668516339347,1.7812386325385259,0.0,,0.019121011169199578,,24.994845770131505,-24.994845770131505
Train,13,14968.05227804184,14.0,"March 17, 2024",5.740236894804097,2.275679813964026,2.3094447794137523,-6.581326329238003,0.6045842140934476,0.39828624754874176,2.384947590112222,0.0,,0.020728029231034017,,20.218168451645113,-20.218168451645113
Test,13,1152.9965374469755,14.0,"January 16, 2024",NA,NA,NA,NA,0.7747599552219652,0.5103941322369566,3.0562522888440453,0.0,,0.019796917476780015,,60.10501393582319,-60.10501393582319
Test,13,1135.3082695007324,14.0,"April 17, 2024",NA,NA,NA,NA,0.5117883118661962,0.33715443030238673,2.0188888042059028,0.0,,0.022779348480708294,,68.35944077960926,-68.35944077960926
Train,14,16258.067867279053,14.0,"October 04, 2024",3.2770696992852857,0.2633604334440038,0.2901086657962185,-3.657091373311622,0.42455445099136974,0.27968675864125847,1.6747710098278883,0.0,,0.022083784524599463,,72.1134958259671,-72.1134958259671
Test,14,1240.5573263168335,14.0,"January 16, 2024",NA,NA,NA,NA,0.7998486673200627,0.5269220017453686,3.1552215673375263,0.0,,0.019582972063504966,,33.36664459072779,-33.36664459072779
Test,14,1222.580466747284,14.0,"April 17, 2024",NA,NA,NA,NA,0.5305092809143804,0.34948737638146654,2.09273878072734,0.0,,0.02171618110091023,,53.06873928995861,-53.06873928995861
Train,15,17577.13304924965,14.0,"September 28, 2024",-6.705912859037718,10.073618564721462,10.506514432557326,4.697710422003486,0.40132481461128666,0.26438360568080754,1.5831353633581249,0.0,,0.023532071806803924,,222.43500542302553,-222.43500542302553
Test,15,1318.3724279403687,14.0,"January 16, 2024",NA,NA,NA,NA,0.13937228393960766,0.09181527186554043,0.5497920470990452,0.0,,0.01907897879244526,,1793.933396808684,-1793.933396808684
Test,15,1310.1156446933746,14.0,"April 17, 2024",NA,NA,NA,NA,0.3036788286964477,0.20005666426945448,1.1979440974218856,0.0,,0.021553334292480953,,436.4569289741538,-436.4569289741538
Train,16,19085.836804151535,14.0,"March 25, 2024",-70.65336038527035,29.35364880554733,28.80490960712944,68.52176825347401,0.31673782898804936,0.20865963487575684,1.2494588914716003,0.0,,0.022500072567243835,,435.6343349647563,-435.6343349647563
Test,16,1401.382358312607,14.0,"January 16, 2024",NA,NA,NA,NA,0.07770969431136628,0.05119336863904615,0.3065471175990794,0.0,,0.018575884152208753,,2133.9125390788727,-2133.9125390788727
Test,16,1392.374330997467,14.0,"April 17, 2024",NA,NA,NA,NA,0.2280788611216459,0.1502531353345752,0.8997193732609312,0.0,,0.022290125791479255,,551.234107650815,-551.234107650815
Train,17,20421.960386276245,14.0,"November 09, 2024",-57.58488748612858,32.50529093685604,35.04838069705736,57.810693780581154,0.10815943677472445,0.07125296229340827,0.4266644448707093,0.0,,0.018672317819375162,,2609.353270807215,-2609.353270807215
