Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,1,334.2175178527832,14.0,"February 12, 2024",-0.714187976815516,0.07801844512470693,0.07284298612042524,0.5433006137470893,1.1036313550451144,0.7270470859666026,4.353575365069478,0.0,,0.02077137032404728,,514.4212421739229,-514.4212421739229
Test,1,88.88354897499084,14.0,"January 16, 2024",NA,NA,NA,NA,1.0847875464331358,0.7146332159934264,4.279240814331894,0.0,,0.020359462967067036,,379.6658272366404,-379.6658272366404
Test,1,90.23363137245178,14.0,"April 17, 2024",NA,NA,NA,NA,1.2028338043648388,0.7923993898577022,4.744906526094039,0.0,,0.027288555259562523,,2070.9159565330033,-2070.9159565330033
Train,2,633.4837939739227,14.0,"October 13, 2024",2.2013956228441938,0.28700687089336235,0.2766496850942661,-2.3654162832267285,1.163892094582418,0.7667454824270746,4.591290313934585,0.0,,0.02343206241457686,,1839.1599348347256,-1839.1599348347256
Test,2,180.25052309036255,14.0,"January 16, 2024",NA,NA,NA,NA,1.0755821459922632,0.7085689087996362,4.2429275976026135,0.0,,0.020620063347068455,,352.98771592751785,-352.98771592751785
Test,2,179.23445177078247,14.0,"April 17, 2024",NA,NA,NA,NA,1.204606963128095,0.7935675062816231,4.751901235219308,0.0,,0.027119332248435844,,2115.7229316742546,-2115.7229316742546
Train,3,997.1844687461853,14.0,"March 26, 2024",15.788963203628859,0.895478618042987,0.9035095178655216,-15.82147817828116,1.1685316281707265,0.7698019010039895,4.609592221580785,0.0,,0.02648717750802677,,2444.438736520229,-2444.438736520229
Test,3,270.7006266117096,14.0,"January 16, 2024",NA,NA,NA,NA,0.9752106663703821,0.6424464744925183,3.846984877200721,0.0,,0.02006679592719681,,158.43634981537454,-158.43634981537454
Test,3,268.26792550086975,14.0,"April 17, 2024",NA,NA,NA,NA,1.10042531590414,0.7249350207336936,4.340928267866431,0.0,,0.02596163796278859,,1692.7491375837938,-1692.7491375837938
Train,4,1359.2900137901306,14.0,"February 23, 2024",32.13577964901924,2.353682165399992,2.373984553662705,-32.13969823647113,0.9765175493875633,0.6433074191231662,3.852140234270457,0.0,,0.0210594692193518,,522.422051135445,-522.422051135445
Test,4,359.43403697013855,14.0,"January 16, 2024",NA,NA,NA,NA,0.8693192015875266,0.5726876002568696,3.4292670674064034,0.0,,0.01977309224281367,,108.45822042716851,-108.45822042716851
Test,4,355.3847830295562,14.0,"April 17, 2024",NA,NA,NA,NA,0.9308576637072876,0.6132277311207759,3.6720223420405733,0.0,,0.023200732066126606,,1028.0715047184494,-1028.0715047184494
Train,5,1737.961124420166,14.0,"October 12, 2024",44.50999754099619,3.5621290580990412,3.602792171140512,-44.532955205866266,0.8677269319191533,0.5716386494299737,3.422985924730377,0.0,,0.02150947990619858,,927.4293216113855,-927.4293216113855
Test,5,446.134092092514,14.0,"January 16, 2024",NA,NA,NA,NA,0.8611294631309414,0.5672923879403037,3.3969604068281676,0.0,,0.019563809000652813,,46.491787544172645,-46.491787544172645
Test,5,442.30639171600336,14.0,"April 17, 2024",NA,NA,NA,NA,0.7874906406873091,0.5187808165474561,3.106471955373992,0.0,,0.022625353129995904,,537.4029474582968,-537.4029474582968
Train,6,2121.6285240650177,14.0,"February 08, 2024",50.93034280197961,4.482450593728572,4.538791697849298,-50.95091029717808,0.9073368199046488,0.5977327373730803,3.5792379483418064,0.0,,0.01957218412476155,,51.739422347463304,-51.739422347463304
Test,6,533.6308224201202,14.0,"January 16, 2024",NA,NA,NA,NA,0.8853273263707245,0.5832333866031987,3.4924154886419045,0.0,,0.01957269282276993,,28.064946813454448,-28.064946813454448
