Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,reward
train,1,94.70016479492188,14.0,"December 16, 2024",-0.6966690755382713,0.05167064549749782,0.05145643501436141,0.5507077711213025,1.0518005797136547,0.6929021570500188,4.149114712874375,0.0,,0.020819763139758248,,389.6010912945176,-389.6010912945176
test_jan17,1,67.18856072425842,14.0,"January 16, 2024",NA,NA,NA,NA,1.0648295714884055,0.7014853587320052,4.200511130131764,0.0,,0.020615485607796594,,324.71582407189965,-324.71582407189965
test_apr19,1,68.62830400466919,14.0,"April 17, 2024",NA,NA,NA,NA,1.1614357447609636,0.7651272953652095,4.581600571049169,0.0,,0.02706775060955238,,1920.4034472403848,-1920.4034472403848
train,2,201.67387461662292,14.0,"October 06, 2024",0.9912110213533326,2.7317123653123243,0.5244288206255684,-1.342795383947045,1.233139382110652,0.8123640110945906,4.864455156255027,0.0,,0.02538270154110772,,2821.136621783147,-2821.136621783147
test_jan17,2,134.7024531364441,14.0,"January 16, 2024",NA,NA,NA,NA,1.0705049868032568,0.7052241924897181,4.222899356225862,0.0,,0.02066080831769239,,346.1412071169554,-346.1412071169554
test_apr19,2,136.67879629135132,14.0,"April 17, 2024",NA,NA,NA,NA,1.153387232198077,0.7598251194362066,4.549851014588066,0.0,,0.026583827922430654,,1917.6259337180272,-1917.6259337180272
train,3,307.5911660194397,14.0,"September 22, 2024",16.079945153068927,30.116123647916886,0.7912149407590429,-16.182251077677524,1.309321307935739,0.8625509208097346,5.164975573710988,0.0,,0.028782357321219296,,4980.871963175862,-4980.871963175862
test_jan17,3,201.8436222076416,14.0,"January 16, 2024",NA,NA,NA,NA,1.0849453896441767,0.7147371994894565,4.279863469996746,0.0,,0.020572218892898134,,363.0107274976941,-363.0107274976941
test_apr19,3,204.4224545955658,14.0,"April 17, 2024",NA,NA,NA,NA,1.1134104640809692,0.7334893392564958,4.3921517320748285,0.0,,0.026964683289216806,,1736.3652519347722,-1736.3652519347722
train,4,413.82823181152344,14.0,"October 31, 2024",40.886614758343924,31.539101576521283,2.271964813139112,-40.61510674868311,1.1555392991098021,0.7612428518790395,4.5583404304134145,0.0,,0.024669211330409828,,1896.0011256644098,-1896.0011256644098
test_jan17,4,269.4863648414612,14.0,"January 16, 2024",NA,NA,NA,NA,1.0471149440468883,0.6898153674786194,4.1306309429857455,0.0,,0.020521010560603865,,305.0422949382473,-305.0422949382473
test_apr19,4,271.912709236145,14.0,"April 17, 2024",NA,NA,NA,NA,1.118967463602927,0.7371501633991647,4.41407283472554,0.0,,0.025701792390819687,,1809.171550825371,-1809.171550825371
train,5,519.2152705192566,14.0,"October 23, 2024",58.40269133306685,3.6183818601337925,3.054397182760849,-58.24798576888584,1.121745389507337,0.7389801974269214,4.425031122316898,0.0,,0.023858960768056804,,1862.5982526012485,-1862.5982526012485
test_jan17,5,336.6941385269165,14.0,"January 16, 2024",NA,NA,NA,NA,1.04156332746483,0.6861580894935941,4.108731074811936,0.0,,0.020640792181907074,,327.20336828894534,-327.20336828894534
test_apr19,5,339.77800822257996,14.0,"April 17, 2024",NA,NA,NA,NA,1.0913318984990734,0.7189444854017555,4.305056798812909,0.0,,0.026794889728109363,,1685.8395475875668,-1685.8395475875668
train,6,624.7617385387421,14.0,"December 06, 2024",69.71918403534661,6.224254264584964,6.1679864674806595,-69.68142135938008,1.0299379456644249,0.6784995539485548,4.062871580530276,0.0,,0.02150504056742616,,583.3085571235868,-583.3085571235868
test_jan17,6,403.71450567245483,14.0,"January 16, 2024",NA,NA,NA,NA,0.9756864725013245,0.6427599246852893,3.8488618244628148,0.0,,0.02019654034909194,,176.10828225239234,-176.10828225239234
test_apr19,6,406.9758980274201,14.0,"April 17, 2024",NA,NA,NA,NA,1.0694890388979417,0.7045549092542636,4.2188916721812255,0.0,,0.026548070066179465,,1594.583292886482,-1594.583292886482
train,7,731.0359890460968,14.0,"December 16, 2024",73.52798486891247,8.133918971710262,7.569840256923011,-73.46589892818814,0.974509245998744,0.6419843947999604,3.8442179329338977,0.0,,0.020567827770805486,,195.435859287434,-195.435859287434
test_jan17,7,471.30090451240534,14.0,"January 16, 2024",NA,NA,NA,NA,0.9512898026434847,0.6266879567710525,3.7526224956350394,0.0,,0.020034355748175064,,123.87011459642187,-123.87011459642187
test_apr19,7,473.445586681366,14.0,"April 17, 2024",NA,NA,NA,NA,0.9743927400394368,0.6419076433395885,3.8437583433508298,0.0,,0.025971949020228778,,1241.4452630446458,-1241.4452630446458
train,8,837.7325057983398,14.0,"February 27, 2024",76.67604760328929,25.645150811101,16.70190000480839,-76.49707282157172,0.9285966214579722,0.6117382082188608,3.663103043226707,0.0,,0.021841241546487058,,519.3807324628116,-519.3807324628116
test_jan17,8,538.1565523147582,14.0,"January 16, 2024",NA,NA,NA,NA,0.8354913992918108,0.5504026180738933,3.2958240603227154,0.0,,0.0197620199905473,,90.8662397117711,-90.8662397117711
test_apr19,8,540.556227684021,14.0,"April 17, 2024",NA,NA,NA,NA,0.89116868500143,0.5870815400206647,3.515458323477028,0.0,,0.024347888759914994,,907.7948000491624,-907.7948000491624
train,9,943.9095208644867,14.0,"November 24, 2024",79.28457238560631,53.90529547418867,17.725063002623973,-78.6330262819926,0.866138382719797,0.5705921495629416,3.4167194584607263,0.0,,0.020885219034982052,,425.19573409062934,-425.19573409062934
test_jan17,9,605.9030311107634,14.0,"January 16, 2024",NA,NA,NA,NA,0.9020923025298115,0.5942777693194405,3.558549516882881,0.0,,0.01998934922624179,,95.6914355245281,-95.6914355245281
test_apr19,9,607.638484954834,14.0,"April 17, 2024",NA,NA,NA,NA,0.991736474110745,0.6533332985266033,3.9121754402790643,0.0,,0.025132109869581837,,1304.2793655976595,-1304.2793655976595
train,10,1050.1120538711548,14.0,"December 16, 2024",78.6032254298528,28.304011339587824,21.42752847731823,-78.11616953214009,0.8995953019793479,0.5926328024873794,3.5486994160920937,0.0,,0.02051427178641895,,94.38503983251351,-94.38503983251351
test_jan17,10,673.1887755393981,14.0,"January 16, 2024",NA,NA,NA,NA,0.8690947012633367,0.5725397045797898,3.428381464549636,0.0,,0.019206360256387743,,98.93138291784956,-98.93138291784956
test_apr19,10,675.3170692920685,14.0,"April 17, 2024",NA,NA,NA,NA,0.9376135522142137,0.6176783558965422,3.6986727897996556,0.0,,0.02321808707039007,,993.3518469023296,-993.3518469023296
train,11,1156.42880153656,14.0,"February 08, 2024",80.16811010951088,14.993879927410966,13.38498342001722,-79.92324381782895,0.8907746481942643,0.5868219575875423,3.513903937649956,0.0,,0.019791135066991823,,183.0471341835249,-183.0471341835249
test_jan17,11,740.3706519603728,14.0,"January 16, 2024",NA,NA,NA,NA,0.8866193780870271,0.5840845607121624,3.497512339593785,0.0,,0.019447283437174227,,50.794106878442136,-50.794106878442136
test_apr19,11,741.9375298023224,14.0,"April 17, 2024",NA,NA,NA,NA,0.8511413712438197,0.5607124615294576,3.357559649876991,0.0,,0.022325705469423727,,706.1612291359935,-706.1612291359935
train,12,1262.103881597519,14.0,"December 03, 2024",79.06951245239803,11.786966872002397,11.13411992069866,-78.92108332543145,0.8395768464802914,0.5530940172079226,3.3119402228019283,0.0,,0.019944355914226268,,162.9649243571506,-162.9649243571506
test_jan17,12,807.2917730808257,14.0,"January 16, 2024",NA,NA,NA,NA,0.8892099641248146,0.585791179522066,3.5077316139045864,0.0,,0.01921822686248042,,25.30267915722542,-25.30267915722542
test_apr19,12,808.3696801662445,14.0,"April 17, 2024",NA,NA,NA,NA,0.8475970267454218,0.5583775284673963,3.3435780147748235,0.0,,0.02422080294253823,,721.7299119703426,-721.7299119703426
train,13,1366.9441266059875,14.0,"May 06, 2024",80.62691644827525,12.660352764917272,11.865773281880788,-80.50496695722852,0.7616616946750004,0.5017652978726831,3.0045826219921064,0.0,,0.024222600392554708,,1794.1856033805464,-1794.1856033805464
test_jan17,13,874.0044100284575,14.0,"January 16, 2024",NA,NA,NA,NA,0.9370630864547086,0.6173157216486631,3.696501327237503,0.0,,0.019633785165937313,,20.76116347049025,-20.76116347049025
test_apr19,13,875.0186202526093,14.0,"April 17, 2024",NA,NA,NA,NA,0.8403380191720272,0.5535954603618469,3.3149428764182445,0.0,,0.02264638220098347,,685.1990159879755,-685.1990159879755
train,14,1473.655570268631,14.0,"December 16, 2024",83.49502461864834,14.031741506996608,13.083784786008653,-83.39550108001346,0.869639006776256,0.5728982805981638,3.4305286263363137,0.0,,0.01919472917801624,,8.887609673424151,-8.887609673424151
test_jan17,14,941.0786674022673,14.0,"January 16, 2024",NA,NA,NA,NA,0.929151159257743,0.6121035250336985,3.66529056906407,0.0,,0.01930746602482622,,8.375817234667771,-8.375817234667771
test_apr19,14,941.5683162212372,14.0,"April 17, 2024",NA,NA,NA,NA,0.8559107533574761,0.5638544213439762,3.3763737805028575,0.0,,0.023198328584592528,,674.983544314226,-674.983544314226
train,15,1580.1573901176453,14.0,"March 05, 2024",81.46459233760834,14.41348419941607,13.242963149788833,-81.38610135941278,0.8031893759313857,0.5291227841441465,3.1683999050547675,0.0,,0.020790116669703873,,300.4859619317807,-300.4859619317807
test_jan17,15,1009.0420477390287,14.0,"January 16, 2024",NA,NA,NA,NA,0.9741367888412359,0.6417390285462956,3.8427486739299175,0.0,,0.01970365859712923,,37.83778432794444,-37.83778432794444
test_apr19,15,1007.8110401630402,14.0,"April 17, 2024",NA,NA,NA,NA,0.8723978211731255,0.5747157244020192,3.441411523365377,0.0,,0.024228684800419016,,741.1473921498712,-741.1473921498712
train,16,1685.5130069255829,14.0,"June 05, 2024",81.07338518188114,13.043566338717937,12.253509156760716,-81.0222050575983,0.6806582810906804,0.44840210233587285,2.6850425289573145,0.0,,0.023047886973279984,,1248.4622470882746,-1248.4622470882746
test_jan17,16,1076.654316663742,14.0,"January 16, 2024",NA,NA,NA,NA,0.9671627403304248,0.6371446849514022,3.8152376344395424,0.0,,0.019404812312679785,,19.171729073785617,-19.171729073785617
test_apr19,16,1075.12100815773,14.0,"April 17, 2024",NA,NA,NA,NA,0.8650697865920965,0.5698881828831549,3.4125040891206884,0.0,,0.02191380510760931,,719.219879269681,-719.219879269681
