Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,reward
train,1,244.1007227897644,14.0,"February 12, 2024",-1.5051915557068285,0.03132693258402512,0.031560105001300964,1.3668266363342159,1.0796149085362796,0.7112256004952971,4.258835931109572,0.0,,0.020738758395114697,,416.76205476703376,-416.76205476703376
test_jan17,1,89.75434517860413,14.0,"January 16, 2024",NA,NA,NA,NA,1.107229450621171,0.7294174290088177,4.367769035980939,0.0,,0.020795389974551933,,422.76479595482635,-422.76479595482635
test_apr19,1,92.3604691028595,14.0,"April 17, 2024",NA,NA,NA,NA,1.1626324246993176,0.7659156407289386,4.586321201969694,0.0,,0.027250454758723057,,1932.712257942748,-1932.712257942748
train,2,636.7669787406921,14.0,"October 13, 2024",1.4680453022800586,0.19434723249287345,0.1772456197636313,-1.6361902280242204,1.1502360342154903,0.7577491823036944,4.537420253315544,0.0,,0.022866893345997757,,1757.5097731605345,-1757.5097731605345
test_jan17,2,181.1381151676178,14.0,"January 16, 2024",NA,NA,NA,NA,1.0614817399861158,0.6992798839356263,4.1873046942253085,0.0,,0.020333618581587935,,295.5733790634235,-295.5733790634235
test_apr19,2,182.4061381816864,14.0,"April 17, 2024",NA,NA,NA,NA,1.1400271546873004,0.7510238060464651,4.497148539200389,0.0,,0.02679766276879124,,1830.513266860085,-1830.513266860085
train,3,1043.5810570716858,14.0,"March 26, 2024",18.91851052428995,0.6470538771661397,0.6554788485324631,-18.978317690747126,1.1053572091857577,0.7281840391874602,4.3603834681883935,0.0,,0.025035739315157474,,2152.680390369205,-2152.680390369205
test_jan17,3,273.8072497844696,14.0,"January 16, 2024",NA,NA,NA,NA,0.953362204359302,0.6280532076055358,3.7607976503325524,0.0,,0.020258016384693517,,106.95297460924394,-106.95297460924394
test_apr19,3,273.40410137176514,14.0,"April 17, 2024",NA,NA,NA,NA,1.019231508828569,0.6714463983209882,4.020637115694546,0.0,,0.023683771151241248,,1383.1527121580916,-1383.1527121580916
train,4,1464.9145646095276,14.0,"February 23, 2024",41.2914842069149,2.444211834176843,2.443797754073915,-41.30381995368572,0.9134297287767346,0.6017466063341781,3.6032730918214324,0.0,,0.02046193459383056,,310.34330021484783,-310.34330021484783
test_jan17,4,361.45578265190125,14.0,"January 16, 2024",NA,NA,NA,NA,0.8914157282923459,0.5872442864884467,3.5164328532242375,0.0,,0.01944592754905,,32.94469751215666,-32.94469751215666
test_apr19,4,363.7345218658447,14.0,"April 17, 2024",NA,NA,NA,NA,0.8785253237550334,0.5787523829076533,3.4655831311835583,0.0,,0.02568125551732913,,794.1344004453563,-794.1344004453563
train,5,1898.0892310142517,14.0,"October 12, 2024",55.532608710584185,4.619294592112835,4.470851219846823,-55.53942079771133,0.8532902922967355,0.5621281215524842,3.3660366560028976,0.0,,0.021809858876967125,,814.4445048835094,-814.4445048835094
test_jan17,5,453.1706938743592,14.0,"January 16, 2024",NA,NA,NA,NA,0.8653895712750895,0.570098849715738,3.4137655671601084,0.0,,0.019277688458624355,,25.205421257322286,-25.205421257322286
test_apr19,5,452.9533393383026,14.0,"April 17, 2024",NA,NA,NA,NA,0.8098698797134601,0.5335237471879587,3.1947529771734047,0.0,,0.025097329053947903,,573.0826674306625,-573.0826674306625
train,6,2347.339501142502,14.0,"February 08, 2024",62.36649737755457,6.316237056849613,6.101576469506004,-62.352951439363615,0.8791590898835691,0.5791698935327635,3.468083194806972,0.0,,0.01935585188106132,,54.51759222729975,-54.51759222729975
test_jan17,6,544.2374384403229,14.0,"January 16, 2024",NA,NA,NA,NA,0.8851358131639928,0.5831072220843648,3.491660012481228,0.0,,0.019479922407739776,,33.22591508659159,-33.22591508659159
test_apr19,6,543.6503841876984,14.0,"April 17, 2024",NA,NA,NA,NA,0.824275334775648,0.5430137313906618,3.2515792298841997,0.0,,0.024744755369224488,,629.0945564020395,-629.0945564020395
train,7,2804.6199412345886,14.0,"October 13, 2024",64.0149842152993,6.601295059857269,6.4279853947505,-64.00342313093799,0.778987724028963,0.5131792895969878,3.07292987782627,0.0,,0.020452557838945274,,356.43323821118594,-356.43323821118594
test_jan17,7,634.940411567688,14.0,"January 16, 2024",NA,NA,NA,NA,0.8963703579274054,0.5905082831316625,3.535977743303371,0.0,,0.019156026467176072,,17.38953445253379,-17.38953445253379
test_apr19,7,633.9879786968231,14.0,"April 17, 2024",NA,NA,NA,NA,0.7892199661370285,0.5199200565873111,3.1132937520198243,0.0,,0.023672034529583837,,497.7936420271687,-497.7936420271687
train,8,3275.8760793209076,14.0,"December 11, 2024",63.63986581989697,7.2038175456802405,7.01080906453232,-63.62039030662605,0.8434531991979298,0.5556476696885758,3.327231555021411,0.0,,0.01964709403621513,,6.086665539580256,-6.086665539580256
test_jan17,8,723.1506023406982,14.0,"January 16, 2024",NA,NA,NA,NA,0.9009859891816198,0.5935489553977521,3.554185361663193,0.0,,0.01946500902344491,,22.58765928911987,-22.58765928911987
test_apr19,8,722.2478048801422,14.0,"April 17, 2024",NA,NA,NA,NA,0.7831533108392935,0.5159234828803235,3.089362172936062,0.0,,0.022977680504492025,,479.86863964359645,-479.86863964359645
train,9,3769.4171772003174,14.0,"February 02, 2024",61.92534303665161,7.862448217169869,7.674585709503542,-61.89450066501186,0.9292321120930735,0.6121568549094406,3.6656099096373707,0.0,,0.01921103551359622,,18.18011356813694,-18.18011356813694
test_jan17,9,815.6851785182953,14.0,"January 16, 2024",NA,NA,NA,NA,0.9232791882542127,0.6082352048854166,3.64212697536178,0.0,,0.018968968885108833,,24.59074876095686,-24.59074876095686
test_apr19,9,811.1578660011292,14.0,"April 17, 2024",NA,NA,NA,NA,0.7616802839294767,0.5017775440482147,3.0046559523845158,0.0,,0.02296202150290756,,411.6854339602919,-411.6854339602919
train,10,4268.633210659027,14.0,"February 05, 2024",59.665090930603796,7.817863989776622,7.62918013088139,-59.62879546341442,0.9302346030342489,0.6128172730048091,3.669564509010834,0.0,,0.018952806132570166,,17.355411428122853,-17.355411428122853
test_jan17,10,906.1465892791748,14.0,"January 16, 2024",NA,NA,NA,NA,0.9139964311336217,0.6021199368809249,3.6055086040773965,0.0,,0.019092319103971814,,8.2534538987816,-8.2534538987816
test_apr19,10,900.8574664592743,14.0,"April 17, 2024",NA,NA,NA,NA,0.7740788798017514,0.5099454553329068,3.053565600795854,0.0,,0.022983386567425455,,405.80093907432075,-405.80093907432075
train,11,4784.692668199539,14.0,"March 24, 2024",58.28657010268597,7.276161545732369,7.074741090182215,-58.241027289912815,0.774580885999645,0.5102761655303372,3.05554590137926,0.0,,0.022222304786538586,,638.6684530132874,-638.6684530132874
test_jan17,11,995.0244674682617,14.0,"January 16, 2024",NA,NA,NA,NA,0.9203733264057719,0.6063208895848662,3.6306640094902165,0.0,,0.01921188554330599,,30.674178926281385,-30.674178926281385
test_apr19,11,990.3703374862672,14.0,"April 17, 2024",NA,NA,NA,NA,0.7815637662694122,0.5148763272859627,3.0830917801554616,0.0,,0.022732086541802286,,443.26669547798974,-443.26669547798974
train,12,5312.844908952713,14.0,"March 30, 2024",58.02995257363433,7.436372078910825,7.241641205247669,-57.97934838916574,0.7449263990601732,0.4907404680199171,2.938565676765965,0.0,,0.02169295676836629,,649.5826112902358,-649.5826112902358
test_jan17,12,1085.7049808502197,14.0,"January 16, 2024",NA,NA,NA,NA,0.9161259592606511,0.6035228212880798,3.6139091095094678,0.0,,0.019235420403346998,,32.40870252770499,-32.40870252770499
