Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,reward
train,1,158.72463703155518,14.0,"February 12, 2024",-1.0952251714632093,0.10560629786403383,0.10805935949957486,1.0219024271160986,1.094097388357306,0.7207663268468247,4.315966029022901,0.0,,0.020975372226700435,,441.746907268801,-441.746907268801
test_jan17,1,71.45134925842285,14.0,"January 16, 2024",NA,NA,NA,NA,1.1204073450737626,0.7380987243681173,4.419752840527653,0.0,,0.020953098689643162,,522.725888390357,-522.725888390357
test_apr19,1,75.52785348892212,14.0,"April 17, 2024",NA,NA,NA,NA,1.2987663729060637,0.8555975711057686,5.12333874913634,0.0,,0.027860614259943208,,2505.670144120334,-2505.670144120334
