Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,reward
train,1,216.58477568626404,14.0,"February 12, 2024",-3.1518286679583114,0.02877867057949992,0.027624235283708134,2.8583627288185416,0.9002762233008558,0.5930813778747277,3.551385496255846,0.0,,0.020565951330300338,,156.00856724050004,-156.00856724050004
test_jan17,1,93.23049712181091,14.0,"January 16, 2024",NA,NA,NA,NA,0.9682139016116033,0.6378371659532062,3.8193842272647083,0.0,,0.020355918460348857,,218.16684256597873,-218.16684256597873
test_apr19,1,86.11141777038574,14.0,"April 17, 2024",NA,NA,NA,NA,1.1388512339015218,0.7502491363374916,4.492509798428091,0.0,,0.027400466908868264,,1994.8376676641374,-1994.8376676641374
train,2,365.5962715148926,14.0,"October 13, 2024",-5.647150217422417,0.2877654049869826,0.2966471770709004,5.22493049901511,1.0226315991606658,0.673686300038783,4.034049700831032,0.0,,0.023477783562645883,,1507.6443137539084,-1507.6443137539084
test_jan17,2,166.65812873840332,14.0,"January 16, 2024",NA,NA,NA,NA,0.902842074527384,0.5947717019568975,3.5615071973466788,0.0,,0.02031390652088385,,133.44908618573373,-133.44908618573373
test_apr19,2,161.97102570533752,14.0,"April 17, 2024",NA,NA,NA,NA,0.9733228416795329,0.6412028187790214,3.8395378370001296,0.0,,0.02593935448662485,,1401.5886039077275,-1401.5886039077275
train,3,516.5358006954193,14.0,"March 26, 2024",-3.705681993337792,0.7222324400430634,0.7786359014433055,3.040308927888483,0.9771101985098953,0.6436978428053367,3.8544781006307516,0.0,,0.025190064271999647,,1890.899657446903,-1890.899657446903
test_jan17,3,241.62058353424072,14.0,"January 16, 2024",NA,NA,NA,NA,0.9387351312187078,0.6184172264833315,3.70309716457084,0.0,,0.020242583862090567,,168.71502532661214,-168.71502532661214
test_apr19,3,236.42385387420654,14.0,"April 17, 2024",NA,NA,NA,NA,1.0120735117876043,0.6667308736431172,3.9924004409767426,0.0,,0.02632542801158138,,1478.2037415993152,-1478.2037415993152
train,4,706.4642796516418,14.0,"February 23, 2024",1.935089328485663,0.7731831657057184,0.7517529656290121,-2.4160891419056236,1.0189370813773884,0.6712524362525593,4.0194756661829825,0.0,,0.021702049734964517,,712.43822026214,-712.43822026214
test_jan17,4,332.0691225528717,14.0,"January 16, 2024",NA,NA,NA,NA,0.9380492791325796,0.6179654028210695,3.70039163365909,0.0,,0.020417749288552823,,194.6168305201464,-194.6168305201464
test_apr19,4,330.0571129322052,14.0,"April 17, 2024",NA,NA,NA,NA,1.0568397900034887,0.696221873493422,4.1689932544516335,0.0,,0.026352897111346228,,1552.1859248335577,-1552.1859248335577
train,5,931.6531317234039,14.0,"October 12, 2024",13.97024277420271,0.8355832688643464,0.8351779344292092,-14.266667827431645,1.0785711583401745,0.7105380017467792,4.2547185733340145,0.0,,0.022739227156400404,,1866.188760485066,-1866.188760485066
test_jan17,5,422.1310136318207,14.0,"January 16, 2024",NA,NA,NA,NA,0.9442243436549806,0.6220333940448989,3.7247508625443015,0.0,,0.020131861689983675,,160.67597049967588,-160.67597049967588
test_apr19,5,423.99951910972595,14.0,"April 17, 2024",NA,NA,NA,NA,1.0030554170049564,0.66078995913147,3.9568261025836473,0.0,,0.0265671444839076,,1342.8819901205138,-1342.8819901205138
train,6,1156.7830517292023,14.0,"February 08, 2024",22.848348780756904,1.4824974919846725,1.4893587896090357,-23.126672492850396,0.9557414979277414,0.6296206317709383,3.770183423778073,0.0,,0.02051778891093444,,196.93837350278488,-196.93837350278488
test_jan17,6,514.6595723628998,14.0,"January 16, 2024",NA,NA,NA,NA,0.9520789649881477,0.6272078388679324,3.755735562083422,0.0,,0.01990020421591977,,113.02642327953171,-113.02642327953171
test_apr19,6,518.7716224193573,14.0,"April 17, 2024",NA,NA,NA,NA,0.9637878746197928,0.6349214006371008,3.801924554713176,0.0,,0.025562383672349046,,1220.7967252327196,-1220.7967252327196
train,7,1382.637283563614,14.0,"October 13, 2024",28.020966485142708,2.0435535583778153,2.0590991649688,-28.316174631317455,0.9190307134575538,0.6054364068931406,3.6253677059469447,0.0,,0.022289231994617065,,1006.7074476485233,-1006.7074476485233
test_jan17,7,606.8767478466034,14.0,"January 16, 2024",NA,NA,NA,NA,0.9016636346319645,0.5939953727161271,3.556858519258249,0.0,,0.020117286043421584,,79.20406768501621,-79.20406768501621
test_apr19,7,612.2828907966614,14.0,"April 17, 2024",NA,NA,NA,NA,0.8611812121958177,0.5673264790402427,3.3971645451511505,0.0,,0.02261241737636036,,908.8604758937798,-908.8604758937798
train,8,1609.6654605865479,14.0,"December 11, 2024",30.459629072319892,2.617256838362664,2.6461258167400956,-30.82237178512982,0.8824894377139499,0.5813638504861133,3.4812206615934875,0.0,,0.020439487782905073,,117.3152481773199,-117.3152481773199
test_jan17,8,699.4511334896088,14.0,"January 16, 2024",NA,NA,NA,NA,0.9210811473457885,0.6067871858254308,3.633456202547484,0.0,,0.019692481394164442,,57.37913464443753,-57.37913464443753
test_apr19,8,703.8683037757874,14.0,"April 17, 2024",NA,NA,NA,NA,0.709322706768623,0.46728557013948807,2.798117186463996,0.0,,0.02242850769332111,,484.9423806714274,-484.9423806714274
